Smiles,Value
Cc1ccc2nc3c(c(N4CCCCC4)c2c1)CCCC3,118.0
O=C(c1ccccc1)N1CCC(C(O)=NCCCCCN=c2c3c([nH]c4ccccc24)CCCC3)CC1,118.0
Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccc(Br)cc4)cc3)ccc12,119.0
COc1ccc(Cn2cc(C(O)=NCCCCCCCCN=c3c4c([nH]c5cc(Cl)ccc35)CCCC4)c(=O)c3ccccc32)cc1,119.0
Cc1ccccc1CNCC(O)=Nc1ccc2nc3n(c(=O)c2c1)CCC3,119.0
CCN(CC)C(=O)C1CCN(C(O)=Nc2cccc(Cn3[nH]c(=Nc4ccccc4C(F)(F)F)ccc3=O)c2)CC1,119.0
COc1cc(OC)c2c(c1)OC(c1cccc(O)c1)CC2=O,119.0
COc1ccc(N2CCN(c3ccc(/C=C4\Cc5cc(OC)c(OC)cc5C4=O)cc3)CC2)cc1,119.0
CN(CCCOc1ccc2ccc(=O)oc2c1)Cc1cccc(OC(O)=NCCCCCCCN2CCOCC2)c1,119.0
O=C1c2ccccc2C(=O)N1CCCCCCCNCc1ccccc1F,119.0
CN(C)CCNCCC(O)=Nc1ccc2c(c1)C(=O)c1cccc3ccnc-2c13,119.9
c1ccc(CN2CCC(CCc3n[nH]c4ccccc34)CC2)cc1,119.95
O=Cc1ccc(C(=O)NCCC2CCN(Cc3ccccc3)CC2)cc1,119.95
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(CCCCCCCCCC[N+](C)(C)C)C2,120.0
CCC(C)C(O)=N[C@H]1CC=C2C[C@H]3C(=O)C[C@]4(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]4(C)[C@@H]3CC[C@H]2[C@]1(C)CO,120.0
COc1ccc(/C=C2\CC(C)c3ccccc3C2=O)c(Cl)c1OC,1.2
CN(C)Cc1ccc(CSCCNc2cc(F)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,120.0
CN(CCOCCN=C(S)N=C(O)c1ccccc1)Cc1ccccc1,120.0
